,learning times,layer,node,learning rate,gene number,train_acc,test_acc
0,1000,3,500 1000 50,0.005,40,0.9747657775878906,0.9555000066757202
1,1000,4,2000 2000 500 50,0.005,40,0.9555277824401855,0.8790000081062317
