,learning times,layer,node,learning rate,gene number,train_acc,test_acc
0,1000,3,1000 500 50,0.005,40,0.976889431476593,0.9574999809265137
1,1000,4,1000 500 500 50,0.005,40,0.9713928699493408,0.9564999938011169
