,learning times,layer,node,learning rate,gene number,train_acc,test_acc
0,1000,3,2000 1000 50,0.005,40,0.9163023233413696,0.9194999933242798
1,1000,4,2000 1000 500 50,0.005,40,0.9145534038543701,0.8949999809265137
