"","test","train","genes","five_fold"
"1",0.807893677003625,0.829919763513513,50,1
"2",0.828433346757954,0.843644425675676,100,1
"3",0.838501812323802,0.860853040540541,150,1
"4",0.863471606927104,0.878483952702703,200,1
"5",0.873942811115586,0.889991554054054,250,1
"6",0.875553765606122,0.896114864864865,300,1
"7",0.825471698113208,0.826665281097371,50,2
"8",0.839622641509434,0.842149017977762,100,2
"9",0.854202401372213,0.856905330977865,150,2
"10",0.874785591766724,0.873324327132911,200,2
"11",0.880360205831904,0.885378780006235,250,2
"12",0.884219554030875,0.894315701964045,300,2
"13",0.832489451476793,0.823995826812728,50,3
"14",0.846413502109705,0.83943661971831,100,3
"15",0.856118143459916,0.855607720396453,150,3
"16",0.879746835443038,0.876682316118936,200,3
"17",0.879324894514768,0.884611371935316,250,3
"18",0.883544303797468,0.892436098069901,300,3
"19",0.821912013536379,0.824418725888854,50,4
"20",0.834602368866328,0.842664998436034,100,4
"21",0.853214890016921,0.86143259305599,150,4
"22",0.869289340101523,0.879366072359504,200,4
"23",0.876057529610829,0.887498696694818,250,4
"24",0.880710659898477,0.890418100302367,300,4
"25",0.818370739817124,0.821761440988585,50,5
"26",0.831255195344971,0.841135197402869,100,5
"27",0.844970906068163,0.860508953817154,150,5
"28",0.864921030756442,0.880720494292596,200,5
"29",0.870324189526185,0.889726672950047,250,5
"30",0.881130507065669,0.899989527699236,300,5
