"","test","train","genes","five_fold"
"1",0.8836085380588,0.911106418918919,400,1
"2",0.886024969794603,0.920185810810811,500,1
"3",0.89287152637938,0.929054054054054,600,1
"4",0.89451114922813,0.908448508781045,400,2
"5",0.898370497427101,0.916865842252936,500,2
"6",0.903087478559177,0.926010599605113,600,2
"7",0.89789029535865,0.907250912884716,400,3
"8",0.90379746835443,0.915388628064684,500,3
"9",0.90379746835443,0.923630672926448,600,3
"10",0.890862944162436,0.905744969241998,400,4
"11",0.898900169204738,0.916692732770305,500,4
"12",0.895939086294416,0.926180794494839,600,4
"13",0.886533665835411,0.912242119593675,400,5
"14",0.889027431421446,0.919258561105875,500,5
"15",0.899833748960931,0.927426955702168,600,5
