file_name,barcode,sample_id
ec70002f-5275-4abb-9054-c1e9b105fda3.htseq.counts,TARGET-30-PALXTB-01A,1
ec70002f-5275-4abb-9054-c1e9b105fda3.FPKM-UQ.txt,TARGET-30-PALXTB-01A,1
8f97235c-f3b2-4757-b3c8-24701e5348c7.htseq.counts,TARGET-30-PALZZV-01A,1
8f97235c-f3b2-4757-b3c8-24701e5348c7.FPKM.txt,TARGET-30-PALZZV-01A,1
8f97235c-f3b2-4757-b3c8-24701e5348c7.FPKM-UQ.txt,TARGET-30-PALZZV-01A,1
ddfcc35e-fdce-400c-93cf-f4c62e7d22c7.htseq.counts,TARGET-30-PAMEZH-01A,1
ddfcc35e-fdce-400c-93cf-f4c62e7d22c7.FPKM-UQ.txt,TARGET-30-PAMEZH-01A,1
ddfcc35e-fdce-400c-93cf-f4c62e7d22c7.FPKM.txt,TARGET-30-PAMEZH-01A,1
afdcbe2a-e23f-43de-9bae-ed6e146333dd.FPKM.txt,TARGET-30-PAMMXF-01A,1
afdcbe2a-e23f-43de-9bae-ed6e146333dd.htseq.counts,TARGET-30-PAMMXF-01A,1
afdcbe2a-e23f-43de-9bae-ed6e146333dd.FPKM-UQ.txt,TARGET-30-PAMMXF-01A,1
0828a945-a123-4166-b93e-2071bd743c71.htseq.counts,TARGET-30-PAMNLH-01A,1
0828a945-a123-4166-b93e-2071bd743c71.FPKM-UQ.txt,TARGET-30-PAMNLH-01A,1
0828a945-a123-4166-b93e-2071bd743c71.FPKM.txt,TARGET-30-PAMNLH-01A,1
aeb9f3e0-28f9-4126-b276-0f787d19ef36.FPKM-UQ.txt,TARGET-30-PAMVRA-01A,1
aeb9f3e0-28f9-4126-b276-0f787d19ef36.FPKM.txt,TARGET-30-PAMVRA-01A,1
aeb9f3e0-28f9-4126-b276-0f787d19ef36.htseq.counts,TARGET-30-PAMVRA-01A,1
4a946572-ad2c-4759-baf4-0a8cbe3ed5df.htseq.counts,TARGET-30-PAMYCE-01A,1
4a946572-ad2c-4759-baf4-0a8cbe3ed5df.FPKM-UQ.txt,TARGET-30-PAMYCE-01A,1
4a946572-ad2c-4759-baf4-0a8cbe3ed5df.FPKM.txt,TARGET-30-PAMYCE-01A,1
3a318128-af26-4e70-a5b5-06ae5be107f3.FPKM.txt,TARGET-30-PAMZGT-01A,1
3a318128-af26-4e70-a5b5-06ae5be107f3.htseq.counts,TARGET-30-PAMZGT-01A,1
3a318128-af26-4e70-a5b5-06ae5be107f3.FPKM-UQ.txt,TARGET-30-PAMZGT-01A,1
d9a69f61-4a4e-4eb3-90f5-e486c646e006.FPKM.txt,TARGET-30-PAMZMG-01A,1
d9a69f61-4a4e-4eb3-90f5-e486c646e006.FPKM-UQ.txt,TARGET-30-PAMZMG-01A,1
d9a69f61-4a4e-4eb3-90f5-e486c646e006.htseq.counts,TARGET-30-PAMZMG-01A,1
6ae8bc40-ca9f-4b71-a809-4d70396b116a.htseq.counts,TARGET-30-PANBJH-01A,1
6ae8bc40-ca9f-4b71-a809-4d70396b116a.FPKM-UQ.txt,TARGET-30-PANBJH-01A,1
6ae8bc40-ca9f-4b71-a809-4d70396b116a.FPKM.txt,TARGET-30-PANBJH-01A,1
ae90fe2e-b857-463a-be07-b4ad9babc334.htseq.counts,TARGET-30-PANBMJ-01A,1
ae90fe2e-b857-463a-be07-b4ad9babc334.FPKM.txt,TARGET-30-PANBMJ-01A,1
ae90fe2e-b857-463a-be07-b4ad9babc334.FPKM-UQ.txt,TARGET-30-PANBMJ-01A,1
b2b0bec1-334c-4b94-a9d8-81206911dd42.htseq.counts,TARGET-30-PANBSP-01A,1
b2b0bec1-334c-4b94-a9d8-81206911dd42.FPKM-UQ.txt,TARGET-30-PANBSP-01A,1
b2b0bec1-334c-4b94-a9d8-81206911dd42.FPKM.txt,TARGET-30-PANBSP-01A,1
d12b7288-10b2-41fc-b5c0-b6227d5b92af.FPKM-UQ.txt,TARGET-30-PANGXK-01A,1
d12b7288-10b2-41fc-b5c0-b6227d5b92af.FPKM.txt,TARGET-30-PANGXK-01A,1
d12b7288-10b2-41fc-b5c0-b6227d5b92af.htseq.counts,TARGET-30-PANGXK-01A,1
fa2e0b15-1ed1-462c-991f-2e279493dba1.FPKM.txt,TARGET-30-PANJLH-01A,1
fa2e0b15-1ed1-462c-991f-2e279493dba1.FPKM-UQ.txt,TARGET-30-PANJLH-01A,1
fa2e0b15-1ed1-462c-991f-2e279493dba1.htseq.counts,TARGET-30-PANJLH-01A,1
fab58ae3-1afd-40eb-a7e3-fd6236840671.FPKM.txt,TARGET-30-PANKFE-01A,1
fab58ae3-1afd-40eb-a7e3-fd6236840671.htseq.counts,TARGET-30-PANKFE-01A,1
fab58ae3-1afd-40eb-a7e3-fd6236840671.FPKM-UQ.txt,TARGET-30-PANKFE-01A,1
f510617c-68c6-4c99-b50b-589242906d1b.FPKM-UQ.txt,TARGET-30-PANLET-01A,1
f510617c-68c6-4c99-b50b-589242906d1b.htseq.counts,TARGET-30-PANLET-01A,1
f510617c-68c6-4c99-b50b-589242906d1b.FPKM.txt,TARGET-30-PANLET-01A,1
86234da9-2f20-47a3-a2b6-44800328bdcf.htseq.counts,TARGET-30-PANNMS-01A,1
86234da9-2f20-47a3-a2b6-44800328bdcf.FPKM.txt,TARGET-30-PANNMS-01A,1
86234da9-2f20-47a3-a2b6-44800328bdcf.FPKM-UQ.txt,TARGET-30-PANNMS-01A,1
c7fae254-b4aa-4d2d-abd1-8c96da54a00e.FPKM-UQ.txt,TARGET-30-PANRRW-01A,1
c7fae254-b4aa-4d2d-abd1-8c96da54a00e.FPKM.txt,TARGET-30-PANRRW-01A,1
c7fae254-b4aa-4d2d-abd1-8c96da54a00e.htseq.counts,TARGET-30-PANRRW-01A,1
25f23554-b21d-4967-8b7b-040a200b5651.FPKM.txt,TARGET-30-PANRVJ-01A,1
25f23554-b21d-4967-8b7b-040a200b5651.FPKM-UQ.txt,TARGET-30-PANRVJ-01A,1
25f23554-b21d-4967-8b7b-040a200b5651.htseq.counts,TARGET-30-PANRVJ-01A,1
271dabcc-3b9e-4ebd-9a93-ca2ee6b9d863.FPKM-UQ.txt,TARGET-30-PANSBN-01A,1
271dabcc-3b9e-4ebd-9a93-ca2ee6b9d863.FPKM.txt,TARGET-30-PANSBN-01A,1
271dabcc-3b9e-4ebd-9a93-ca2ee6b9d863.htseq.counts,TARGET-30-PANSBN-01A,1
f9c9806d-716e-405d-babf-1f2142b449df.htseq.counts,TARGET-30-PANUIF-01A,1
f9c9806d-716e-405d-babf-1f2142b449df.FPKM.txt,TARGET-30-PANUIF-01A,1
f9c9806d-716e-405d-babf-1f2142b449df.FPKM-UQ.txt,TARGET-30-PANUIF-01A,1
230d1eae-b3b6-4db5-9fc0-7446ee92b717.htseq.counts,TARGET-30-PANUKV-01A,1
230d1eae-b3b6-4db5-9fc0-7446ee92b717.FPKM-UQ.txt,TARGET-30-PANUKV-01A,1
230d1eae-b3b6-4db5-9fc0-7446ee92b717.FPKM.txt,TARGET-30-PANUKV-01A,1
95b94a40-d6dc-4dba-9f35-f7b0e983bd40.FPKM.txt,TARGET-30-PANWRR-01A,1
95b94a40-d6dc-4dba-9f35-f7b0e983bd40.FPKM-UQ.txt,TARGET-30-PANWRR-01A,1
95b94a40-d6dc-4dba-9f35-f7b0e983bd40.htseq.counts,TARGET-30-PANWRR-01A,1
84f91861-c750-4bed-94b3-834a91018aba.htseq.counts,TARGET-30-PANXJL-01A,1
84f91861-c750-4bed-94b3-834a91018aba.FPKM.txt,TARGET-30-PANXJL-01A,1
84f91861-c750-4bed-94b3-834a91018aba.FPKM-UQ.txt,TARGET-30-PANXJL-01A,1
cd0c500a-90eb-4981-85b9-8688cfb7876f.htseq.counts,TARGET-30-PANYGR-01A,1
cd0c500a-90eb-4981-85b9-8688cfb7876f.FPKM.txt,TARGET-30-PANYGR-01A,1
cd0c500a-90eb-4981-85b9-8688cfb7876f.FPKM-UQ.txt,TARGET-30-PANYGR-01A,1
8c78ab0d-7e08-4518-94d3-dca147c8bb97.FPKM-UQ.txt,TARGET-30-PANZPV-01A,1
8c78ab0d-7e08-4518-94d3-dca147c8bb97.htseq.counts,TARGET-30-PANZPV-01A,1
8c78ab0d-7e08-4518-94d3-dca147c8bb97.FPKM.txt,TARGET-30-PANZPV-01A,1
204a726c-7058-4580-8131-37d078ecb6a3.htseq.counts,TARGET-30-PANZRV-01A,1
204a726c-7058-4580-8131-37d078ecb6a3.FPKM.txt,TARGET-30-PANZRV-01A,1
204a726c-7058-4580-8131-37d078ecb6a3.FPKM-UQ.txt,TARGET-30-PANZRV-01A,1
e4220b7a-96e1-468b-9911-b1bf54ca0c09.htseq.counts,TARGET-30-PANZVU-01A,1
e4220b7a-96e1-468b-9911-b1bf54ca0c09.FPKM.txt,TARGET-30-PANZVU-01A,1
e4220b7a-96e1-468b-9911-b1bf54ca0c09.FPKM-UQ.txt,TARGET-30-PANZVU-01A,1
78ff9515-5ac4-49f0-ad4c-ec169e644b9f.FPKM-UQ.txt,TARGET-30-PAPBGH-01A,1
78ff9515-5ac4-49f0-ad4c-ec169e644b9f.htseq.counts,TARGET-30-PAPBGH-01A,1
78ff9515-5ac4-49f0-ad4c-ec169e644b9f.FPKM.txt,TARGET-30-PAPBGH-01A,1
0851d235-5d5f-48d2-9e39-3e8a8863b5bb.FPKM.txt,TARGET-30-PAPBJE-01A,1
0851d235-5d5f-48d2-9e39-3e8a8863b5bb.htseq.counts,TARGET-30-PAPBJE-01A,1
0851d235-5d5f-48d2-9e39-3e8a8863b5bb.FPKM-UQ.txt,TARGET-30-PAPBJE-01A,1
640a9338-f476-4c71-a6a0-52d8f618f6dc.htseq.counts,TARGET-30-PAPBZI-01A,1
640a9338-f476-4c71-a6a0-52d8f618f6dc.FPKM-UQ.txt,TARGET-30-PAPBZI-01A,1
640a9338-f476-4c71-a6a0-52d8f618f6dc.FPKM.txt,TARGET-30-PAPBZI-01A,1
f3d1dd95-37da-48be-88f2-0312bdc161d2.htseq.counts,TARGET-30-PAPCTS-01A,1
f3d1dd95-37da-48be-88f2-0312bdc161d2.FPKM.txt,TARGET-30-PAPCTS-01A,1
f3d1dd95-37da-48be-88f2-0312bdc161d2.FPKM-UQ.txt,TARGET-30-PAPCTS-01A,1
