,gene_index,gene_names,probability_change
0,0,XIST,39.38202801278092
1,1,HLA.DRB4.....LOC100509582,40.46465401256924
2,2,CMPK2,40.68966800691807
3,3,MMP1,41.318146690021806
4,4,RPS4Y1,40.189184846474
5,5,IGHA1.....IGHA2.....LOC100126583,40.732244708116454
6,6,IL8,41.09949158643782
7,7,EGFR,41.51044692746726
8,8,CHI3L1,40.698361913069604
9,9,CCL20,40.7652178289673
10,10,KRT19,41.300053527603474
11,11,LYZ,40.834471705954556
12,12,LUM,39.631265993154585
13,13,HLA.DQA1,40.28848398087733
14,14,C9orf117,41.01122377698849
15,15,CARD16,40.60498652497679
16,16,MGC34034,41.184231793951724
17,17,GJA1,39.03969088629064
18,18,IFIT1,40.065492876565955
19,19,HLA.DRA,40.64262445509511
20,20,S100A8,41.014991399607
21,21,COL1A1,40.61226538789519
22,22,SPARC,39.403538366899234
23,23,LRRC25,40.718619752663756
24,24,EIF1AY,40.91712579503059
25,25,COL3A1,40.46366518140407
26,26,SEPP1,40.58404726230782
27,27,CTGF,41.34374036342878
28,28,HLA.DPA1,40.826207143618944
29,29,CCL5,40.70646402230369
30,30,MGP,42.43965410888123
31,31,HLA.DQA1.....HLA.DQA2,40.27847936418577
32,32,MAL2,40.71557246056204
33,33,EPCAM,40.93846806062811
34,34,PTX3,39.114906825152026
35,35,COL6A3,41.89664554262983
36,36,HLA.DQB1,42.70626550689587
37,37,ANK3,40.74516764186917
38,38,SERPINA1,41.07514388114957
39,39,IGJ,40.90660670811408
40,40,EFEMP1,39.41802628072025
41,41,PLAC8,40.68738938094732
42,42,COL1A2,40.75525947020718
43,43,TSPAN8,40.20775929134703
44,44,CXCL1,40.842465216515485
45,45,DSP,38.51177776211223
46,46,ALDH1A1,40.21400603325999
47,47,AGR2,40.50586629909837
48,48,CYTL1,41.08167842669658
49,49,CD24,40.759494789363245
50,50,CCL2,39.893899280330665
51,51,NNMT,42.60453266450607
52,52,TGFBI,40.65336715475351
53,53,S100A9,40.743585826206456
54,54,UGT2B17,41.66297260845481
55,55,DKK1,40.98389481589875
56,56,HBA1.....HBA2,40.74240858891011
57,57,IGFBP3,42.50307681135888
58,58,CTHRC1,44.236998834990565
59,59,S100P,40.564289971237955
60,60,KRT18,40.78618170664896
61,61,MAGEA6,39.898701876021335
62,62,CXCL13,40.91912843326139
63,63,CSTA,40.64224827107414
64,64,IGHG1.....IGHG2.....IGHM.....IGHV4.31,40.803182040396386
65,65,C16orf54,40.777284036403486
66,66,GREM1,40.28941781546811
67,67,IGL.,41.1083785494269
68,68,IGFBP7,41.30028286862526
69,69,LOC647979,40.77323763759257
