,gene_names,weighted_max,weighted_sum
147,HLA-DRB1 /// HLA-DRB4,0.036750671,-14.29999161
148,CYP24A1,0.067433849,10.49816513
149,IL13RA2,0.069233216,14.93506432
150,FABP4,0.053176962,11.44711781
151,C19orf33,0.050300185,-3.230264187
152,GIMAP2,0.061614897,-2.978205204
153,GJB2,0.05057041,3.769651413
154,MAFB,0.05806629,-10.88843918
155,FLI1,0.055248711,-2.532746315
156,CCL4,0.067103349,-2.583700895
157,H19,0.059897721,-15.25803566
158,ENPP2,0.071460895,-15.62249088
159,SNAI2,0.05291326,-12.41471291
160,TRBC1 /// TRBC2,0.065713502,-6.709522724
161,ALDH1A3,0.052162051,-10.34916019
162,C13orf15,0.043273337,-14.89970493
163,GIMAP4,0.065583788,9.391073227
164,ARHGAP15,0.063047983,10.6432066
165,TRIM22,0.04906093,-12.98731995
166,IFI27,0.053688522,-10.41836929
167,KRT81,0.060814928,9.236339569
168,IL1RN,0.07694824,-4.049774647
169,EVI2A,0.047487505,-6.724564552
170,RNASE6,0.058699291,15.61283302
171,LOC399959,0.062025014,-2.612280846
172,CECR1,0.051547978,-8.043607712
173,CD36,0.046794038,10.16850853
174,CRIP1,0.058301188,-10.2064352
175,BIRC3,0.043012548,-16.22514343
176,CDH3,0.057754003,4.497958183
177,TFEC,0.062667497,14.04887199
178,TOP2A,0.055729114,-13.40820885
179,IL32,0.055183843,-9.010573387
180,C3,0.066528,-17.25656891
181,KRT14,0.060365193,12.69032478
182,FOSB,0.065902486,-4.451626778
183,CSF2RB,0.053916648,-1.410012722
184,IFI44L,0.071260594,-1.16714406
185,NCF2,0.058386728,2.327882767
186,THBS2,0.068760753,-6.759724617
187,ARMCX2,0.046445258,-7.598378658
188,TUBB2B,0.054152243,-16.56471252
189,GPRC5A,0.062643774,-10.85287762
190,PDK4,0.066316374,9.502754211
191,MPEG1,0.049994394,13.12494278
192,HSPA1A,0.070752479,-13.37634277
193,COL6A2,0.052104153,-6.453002453
194,C11orf96,0.050805062,-9.806649208
195,HLA-DRB1 /// HLA-DRB3 /// HLA-DRB4 /// HLA-DRB5 /// LOC100133661 /// LOC100294036 /// LOC100509582 /// LOC100510495 /// LOC100510519,0.080101602,11.89957619
196,CNN3,0.040544588,-12.49879837
197,CD37,0.061514687,11.98025322
198,SLC2A10,0.049970377,-12.63758278
199,MX1,0.053415839,-13.96082115
200,CD163,0.05131245,9.557949066
