,gene_index,gene_names,probability_change
0,0,EGFR,9.220988882081071
1,1,MMP1,9.381947416149568
2,2,LRRC25,9.217910717903278
3,3,CARD16,9.302567264115428
4,4,CLCN7,9.44335873578359
5,5,KRT19,9.632262312163263
6,6,ZNF548,9.391359533186694
7,7,MAGEA6,9.496577026421662
8,8,SPARC,9.811882507384524
9,9,TIMP1,9.544018633006736
10,10,LUM,9.78430814466087
11,11,CXCL1,9.419996397699077
12,12,PLAC8,9.652181143991655
13,13,MAGEA3,9.708440266247665
14,14,AGR2,9.502962182901076
15,15,MAL2,9.697525516090982
16,16,KRT81,9.624865552967623
17,17,COL3A1,9.531146156814785
18,18,GJA1,9.673910365605272
19,19,MGP,9.435833843503566
20,20,EPCAM,9.26129250072523
21,21,COL6A3,9.452929876361194
22,22,RPS4Y1,9.661006188973255
23,23,NEFL,9.540208925335524
24,24,HNF1B,9.24499203716469
25,25,HLA-DPA1,9.569813215333355
26,26,PTX3,9.64563897872867
27,27,IGFBP7,9.650847314165324
28,28,CCL20,9.856001126022239
29,29,SPARCL1,9.63123957743309
30,30,SERPINA1,9.407582866054224
31,31,S100P,9.61116018543729
32,32,ALDH1A1,9.283187207947018
33,33,HLA-DRA,9.668303090719204
34,34,TSPAN8,9.46460270752365
35,35,CGA,9.72525474497782
36,36,COL1A2,9.546771054949984
37,37,MAGEA12,9.883503607182545
38,38,EFEMP1,9.723648821679701
39,39,SLC40A1,9.45497113206778
40,40,SULF2,9.587485584489306
41,41,COL1A1,9.453127486744588
42,42,NNMT,9.498578697049885
43,43,TOX3,9.481999982476543
44,44,FABP1,9.509567094943824
45,45,CD24,9.882660264128907
46,46,S100A8,9.610441143668673
47,47,DKK1,9.527107837997383
48,48,TFF1,9.670605324512401
49,49,CA2,9.300638803432236
50,50,ANXA3,9.761662567102068
51,51,CTHRC1,9.756933967958405
52,52,C15orf48,9.35982148609294
53,53,AKR1C3,9.350607133262761
54,54,ID4,9.752712201126867
55,55,IFI16,9.762463770547178
56,56,GNG11,9.668822299853288
57,57,RAB25,9.65707257698853
58,58,C19orf33,9.395283227941933
59,59,NEFM,9.455390835149235
60,60,CEACAM6,9.445950345082942
61,61,CHI3L1,9.42591750755084
62,62,KRT17,9.69091196343753
63,63,SERPINA3,9.494253080728422
64,64,SNCA,9.497627551118631
65,65,CTGF,9.499201312208491
66,66,SPINT2,9.39892037601994
67,67,BASP1,9.854116906117156
68,68,RNF128,9.558936526541633
69,69,GATA3,9.522806324911922
70,70,CDH2,9.544403121887383
71,71,RAB34,9.63070313173922
72,72,MSN,9.628607062089747
73,73,C3orf14,9.771126868516088
74,74,CCL2,9.579217563608147
75,75,CRIP1,9.566368124397338
76,76,C3,9.550179126847537
77,77,GALNT3,9.584261613160184
78,78,GREM1,9.532318547714144
79,79,AREG,9.514741084269803
80,80,CAV1,9.533250075240868
81,81,S100A6,9.40877285934217
82,82,IFI27,9.593201233310056
83,83,IGFBP3,9.492635720840155
84,84,TFPI2,9.582109384358239
85,85,ANXA1,9.541245919601925
86,86,TNC,9.596814685680522
87,87,TGFBI,9.682715233285839
88,88,EPB41L3,9.741447851477927
89,89,CLDN3,9.608208627285293
90,90,LDHB,9.53372448522626
91,91,COL4A1,9.535838680775075
92,92,PROM1,9.7776360569198
93,93,HSPA1A,9.622473132412216
94,94,EIF1AY,9.486977687012363
95,95,SCNN1A,9.692917318881772
96,96,ZIC1,9.840853679262922
97,97,CSTA,9.722185748856239
98,98,GJB2,9.556350370072943
99,99,CXCL14,9.495602617752366
100,100,ESRP1,9.41483665552791
101,101,ANPEP,10.084469760792468
102,102,S100A2,9.290605245611612
103,103,FSTL1,9.504943971786837
104,104,HLA-DRB1,9.479789997657843
105,105,DCN,9.560023221302327
106,106,ARMCX2,9.49400367184845
107,107,ALDH1A3,9.433834847620119
108,108,NPNT,9.436450656510425
109,109,METTL7A,9.64614109092919
110,110,TPM2,9.638245993811013
111,111,COL15A1,9.411571134934736
112,112,TSTD1,9.56586448471955
113,113,AGR3,9.466352969178612
114,114,KRT14,9.286754432330962
115,115,AZGP1,9.53591737745836
116,116,CDH3,9.54733254352428
117,117,DSP,9.94988468593171
118,118,SNAI2,9.56134213546598
119,119,MYL9,9.692172123835054
120,120,MME,9.83976160977517
121,121,TRIM22,9.823308434739543
122,122,KRT6A,9.599117255723773
123,123,ADAMTS1,9.442117467110737
124,124,HLA-DPB1,9.629997883260414
125,125,KRT18,9.631316256580718
126,126,CLDN7,9.47747013411851
127,127,ID1,9.829506067512947
128,128,GPX3,9.606497917435185
129,129,COL4A2,9.497948600587955
130,130,LXN,9.807704200151589
131,131,IGFBP1,9.704771501750589
132,132,S100A9,9.622896226971442
133,133,RTP1,9.932066795391075
134,134,C11orf96,9.545611111379085
135,135,SLC2A10,9.23603199016227
136,136,TM4SF18,9.800357544095142
137,137,SPINK1,9.66511946994915
138,138,ENPP2,9.814077476618051
139,139,TF,9.549640519640839
140,140,ARMCX1,9.677983901342534
141,141,APOBEC3G,9.486468774245711
142,142,KRT5,9.618959674959054
143,143,KRT23,9.676104176509735
144,144,COL5A2,9.528645080995192
145,145,GREB1,9.479799257509539
146,146,QPCT,9.665675613324836
147,147,COL12A1,9.646311102959638
148,148,MGST1,9.825443521512376
149,149,CXCL3,9.727669596710626
150,150,GPM6B,9.386309895485024
151,151,GPX2,9.394228780746982
152,152,SAT1,9.555318704203987
153,153,TM4SF1,9.520663767114087
154,154,IGFBP2,10.029869130912532
155,155,OLFM1,9.52319686631294
156,156,DMD,9.874427339513224
157,157,THBS2,9.538688691371927
158,158,PLAT,9.41077018239928
159,159,COL11A1,10.220192775696548
160,160,MAFB,9.533952988135832
161,161,S100A4,9.492987026545006
162,162,ITM2A,9.803968597749723
163,163,TMEM30B,9.465131801718133
164,164,IL13RA2,9.588678180515657
165,165,BNC1,9.52202278705887
166,166,DUSP6,9.399150218697809
167,167,CNN3,9.495401537891956
168,168,IL32,9.683344765851711
169,169,HSD17B2,9.756379658754526
170,170,FGG,9.405873953370186
171,171,LONRF2,9.595427245031924
172,172,TNFSF10,9.73580967695042
173,173,LAMA4,9.611902218716958
174,174,CNRIP1,9.71293521839591
175,175,FABP5,9.703583016380113
176,176,PLAGL1,9.600512655270293
177,177,SERPING1,9.677699380062583
178,178,TIMP3,9.478700493799838
179,179,IFI44L,9.662660156564773
180,180,LYZ,9.585839438731682
181,181,LGALS1,9.648888073178608
182,182,GPX1,9.607508630059463
183,183,TFAP2C,9.483062528650857
184,184,DKK3,9.905740074963372
185,185,FOS,9.500823159839547
186,186,COL6A2,9.623475110560435
187,187,HMCN1,9.585554685153852
188,188,SERPINF1,9.667837689935647
189,189,AMIGO2,9.536554147012067
190,190,HPGD,9.722564867199155
191,191,CFH,9.782671503064247
192,192,CEACAM5,9.330393819241387
193,193,TMEM200A,9.618825364623518
194,194,BCHE,9.84065223806438
195,195,LY75,9.68643088253615
196,196,FOXQ1,9.302440027652874
197,197,CDKN2A,9.593424381483867
198,198,ESR1,9.71452707545132
199,199,STC2,9.461003579663982
200,200,DDC,9.556398337272743
201,201,PROM2,9.497689155647072
202,202,PEG3,9.699431920392566
203,203,CA12,9.515461578056417
204,204,IL18,9.745180055828547
205,205,PLAU,9.496931451173802
206,206,PKIB,9.337638994193583
207,207,APOC1,9.514654928471476
208,208,WNT5A,9.689088247049913
209,209,BST2,9.586634757128914
210,210,GPRC5A,9.416447651777908
211,211,VCAN,9.47815656730597
212,212,ALB,9.476532634186132
213,213,KRT8,9.526296974405126
214,214,EPHA3,9.569607870076435
215,215,RTN1,9.648193068135674
216,216,TSPYL5,9.62807033171601
217,217,DNER,10.190168612082902
218,218,LCN2,9.304773386905904
219,219,FLI1,9.82297010118001
220,220,OLFM4,9.854703641491842
221,221,DUSP4,9.697465248185681
222,222,RBP4,9.55920687132141
223,223,AMBP,9.628628959114325
224,224,LY6K,9.768454745586308
225,225,S100A14,9.495181684339553
226,226,TUBB2B,9.576442279719753
227,227,EHF,9.539844524744757
228,228,CYBA,9.585860076005478
229,229,PLA2G4A,9.463895427923939
230,230,SPOCK1,9.666244849903753
231,231,PXDN,9.452547485355005
232,232,MXRA5,9.568335573817215
233,233,APOE,9.51712733942072
234,234,G0S2,9.416917003464802
235,235,TWIST1,9.602888231536694
236,236,TAGLN,9.599347301349393
237,237,RARRES2,9.226649452302961
238,238,HMGCS2,9.599785804889763
239,239,BCL2L11,9.418810560754308
240,240,SRPX,9.689411643710242
241,241,CCL5,9.52960800077071
242,242,RBM24,9.912607144944332
243,243,LY96,9.818764917929677
244,244,TCF4,9.667638013435113
245,245,DLX2,10.065188058269337
246,246,NMU,9.493567204698317
247,247,IGFBP4,9.581023169550365
248,248,TMEM98,9.470433458490199
249,249,SLC6A15,9.639723863301613
250,250,ZEB2,9.599657472353309
251,251,MET,9.345931782382724
252,252,APOA2,9.659778384402207
253,253,SERPINB2,9.864711412747182
254,254,FOXG1,9.576164902059903
255,255,BEX4,9.626626926528223
256,256,MPPED2,9.585281161563149
257,257,WT1,9.582405967585702
258,258,SELENBP1,9.669150843823877
259,259,SLPI,9.626419974229762
260,260,SPINT1,9.566332476356134
261,261,PSMB8,9.731367947554968
262,262,BIRC3,9.676249016929052
263,263,DPP4,9.890104771217572
264,264,MAGEA1,9.721445373192688
265,265,ANK3,9.541040367203232
266,266,CPE,9.578994846328998
267,267,PDE4B,9.610630319397039
268,268,SOX9,9.424960275369944
269,269,CDC42EP5,9.662516076340069
270,270,CD36,9.627966256538489
271,271,GPR87,9.755195285678958
272,272,IQGAP2,9.732113064972507
273,273,BMP2,9.995504912355914
274,274,MALL,9.450890727528986
275,275,TNNT1,9.415029813294069
276,276,MT1E,9.91289837395796
277,277,RUNX1,9.595941940900339
278,278,NPY1R,9.582871492602898
279,279,ZIC2,9.522280012310961
280,280,LDB2,9.558665654766067
281,281,GLIS3,9.518548064608586
282,282,RGS4,9.69367498847976
283,283,MT1M,9.212985408580053
284,284,LAMB3,9.394175426867985
285,285,SHISA2,9.479656025753403
286,286,NR2F1,9.53927121233234
