,gene_index,gene_names,probability_change
0,0,RHCG,47.508711761574666
1,1,CD248,47.4052114006751
2,2,EMR1,44.77034175756413
3,3,VIPR2,45.865797639196785
4,4,C22orf37,46.34476433836506
5,5,LOC283663,46.705617240167385
6,6,TTR,47.94476336181178
7,7,ADH1A,46.629775084967896
8,8,TMOD1,45.02366647813643
9,9,PCGF5,47.20956863202376
10,10,CCL19,47.94106274790605
11,11,ALX1,49.82947122562636
12,12,HFE2,50.186746830654855
13,13,IRX3,51.65847655358527
14,14,DLEU2,53.04401655874422
15,15,LOXL2,52.82664056846679
16,16,PELI2,57.4938831722889
17,17,FUT4,55.75801853238295
18,18,RPS6KA5,54.704474582174306
19,19,TNFSF13B,56.32560393149192
20,20,IL13RA2,60.87392377586233
21,21,SERPINB3,58.22766699110426
22,22,TIMP2,59.879065967943056
23,23,OLFML2B,59.48214024623263
24,24,NNAT,60.01402848345561
25,25,MAP9,63.40393677087688
26,26,PROM2,64.08245863357138
27,27,BGN,66.96586535410768
28,28,SGK223,67.40236464619589
29,29,MYO15B,67.69929183427065
30,30,FKBP10,64.73029104914445
31,31,SFTA2,64.04100548644112
32,32,DCX,62.34710360504284
33,33,CNIH3,65.21847429466082
34,34,LOC100289026,65.47713053272363
35,35,TSPAN12,66.83298367555255
36,36,CNRIP1,68.29161855326404
37,37,SOX13,70.72315806887681
38,38,PCDHGA8,74.12747724535731
39,39,LOC100506718,74.86976643067668
40,40,HSPB6,74.87436806745544
41,41,KAZ,73.95901547344877
42,42,BAG2,73.20585189508827
43,43,LEF1,72.63115084810096
44,44,LOC100506783,76.59250751759899
45,45,C11orf82,77.45771552429062
46,46,SKAP1,75.92072645022569
47,47,TRPV2,81.52503136852454
48,48,ZNF850,86.09825296373629
49,49,AFAP1,87.84345545210981
50,50,KLHL4,93.75613428628645
51,51,SLCO4A1,91.94970829381408
52,52,ANPEP,96.07124061541887
53,53,GLT8D2,99.5739123969999
54,54,HIP1R,102.71896528600159
55,55,SPINK5,103.58846501779638
56,56,IL33,108.08622143010774
57,57,TMEM2,114.43894761689994
58,58,CLEC12A,116.00162613134083
59,59,CPNE4,111.89939224994146
60,60,CCNA1,104.47806669409513
61,61,TEK,101.42028738552972
62,62,KLHL6,100.78135554283847
63,63,GPR87,100.56051766402432
64,64,KIF21A,99.91529962191093
65,65,GPR158,106.8135554623185
66,66,PLK4,105.05866229232112
67,67,IL4I1,105.33660236690652
68,68,NMU,108.2232876645374
69,69,IGKC,116.26497192111451
70,70,PIK3R3,117.37700556257542
71,71,CD247,118.40490437421673
72,72,TDGF1.....TDGF3,114.2359316497724
73,73,FGF13,117.63096161728673
74,74,C6orf141,122.59637411743454
75,75,TRIM47,120.83279174084198
76,76,TMEM14A,110.81510111237783
77,77,CDA,110.41724946999486
78,78,STAT4,112.90896498229097
79,79,C1orf116,115.74288868523794
80,80,ARHGAP5,115.42695352254043
81,81,IL12RB1,111.39161705082795
82,82,GSTM3,113.06431853889605
83,83,STMN2,108.61408032982186
84,84,MAGEC1,109.08138467108343
85,85,ABCB1,110.07983598550778
86,86,ELTD1,107.6852432883376
87,87,SLAMF6,109.01926753027618
88,88,SSH2,107.81395639751388
89,89,FCGR2C,107.1313673448685
90,90,HES4,109.7829165402619
91,91,CD4,109.54504738403793
92,92,TFAP2C,106.46433395096447
93,93,CCDC58,106.8777080309002
94,94,LOC100505470.....LOC646576,105.36046434226661
95,95,PDZD4,108.36451626550378
96,96,FH,109.0017716583438
97,97,TMEM139,108.21414313772269
