77,523,77,4501,523
523,77,523,4279,2656
4651,4501,4651,77,4651
1514,4651,202,523,77
2656,2656,5245,2656,202
5245,202,2656,285,5245
5986,3369,3411,5627,4479
3591,4279,1210,1477,3398
756,5245,5869,4230,4099
1736,122,1301,5248,5094
5084,4395,4479,820,4501
175,5094,5475,4341,4380
1078,1449,4806,2933,1210
1301,3816,5807,4395,1939
5869,1142,3636,1238,4172
2548,2604,4884,939,3705
1183,2204,4868,122,3127
3707,5869,2789,4651,5869
202,1079,2852,3503,3896
3369,4493,1072,5245,2789
868,4804,2933,976,5807
2958,3634,4501,2628,4242
1567,5057,4869,2652,1606
5483,5084,641,4353,5664
1278,2861,4637,5033,5468
4242,384,2958,5662,2852
5505,800,1606,2861,2950
2950,5136,4034,4662,2594
754,2924,4308,2895,3816
5475,4325,4664,2604,4845
2789,4353,580,4711,5627
5733,4047,4380,2156,4806
4662,4387,4099,3364,1069
1449,3099,2079,5126,1645
1069,3400,2950,2160,465
1478,3676,2600,4879,5136
1210,5327,4954,1449,5662
3073,1892,330,3900,1301
4545,1210,2494,756,5605
4230,1267,122,2564,384
334,4504,4908,15,3468
1733,3627,4341,3834,57
5628,2509,3654,202,1514
864,5706,5834,2340,1841
1081,2340,5136,1081,4869
1135,4242,4061,4754,1072
1238,3745,1778,4085,1028
4501,5505,3468,334,641
5627,5664,3126,964,4637
1650,3696,3127,2522,4884
5807,5475,5815,4308,5034
4201,5575,994,2866,1539
2568,1189,2594,1915,1389
2310,5162,3896,2492,4545
976,5736,2997,3427,4341
323,2852,2615,3546,4642
876,5197,3571,68,2902
2498,5672,4353,1093,1054
3200,5483,1446,1567,2767
4034,5739,4423,1923,1029
1446,2426,1514,5807,4654
1874,4928,1539,3895,4978
4754,1757,4845,5706,3528
2399,4620,4485,5505,5460
3654,4854,473,4545,1874
1342,2319,5374,5953,2494
2409,1558,3333,1882,3607
2335,2599,1054,1706,2397
5706,4664,2090,4048,122
2045,5049,4172,2518,4056
343,5730,553,3832,4281
3100,3527,816,5468,1660
1841,4717,5299,5728,2190
3895,5469,3350,5869,1590
1660,5862,334,1709,3814
726,641,2905,1590,4435
2531,4708,5468,1750,2399
3503,1028,3321,3591,2600
5574,1598,2832,2074,4804
2397,3531,1487,3432,5117
3437,1654,955,5878,865
2594,626,5627,1142,2148
5117,1469,700,5654,1529
2741,1660,2936,4304,51
2070,4662,4718,1210,1778
1176,2635,5662,1660,726
3963,3246,4395,2789,1654
3732,1109,5949,5656,453
3814,5508,2007,4653,180
1313,1582,520,2531,4034
2494,5835,3639,4435,580
4125,4230,5915,5172,5277
63,5033,3100,4034,5133
493,955,726,1068,2807
3896,676,4494,5977,5475
2364,1844,2353,2852,3067
2615,2805,1069,1375,145
1292,15,3561,5136,5634
4710,1135,4067,4380,3946
4664,5648,2776,2090,4664
539,2950,4982,472,1650
4708,5655,1883,3116,3137
1300,2564,2635,1731,4076
2160,2902,4147,2570,3675
2010,5685,1650,416,2310
1756,1736,5054,5374,2615
2600,1389,1201,323,4387
5751,1419,1590,3531,2895
838,3475,5099,3654,4355
3834,5117,1493,2399,5949
1389,3249,2480,5911,285
2039,3044,5574,1658,4061
2049,4184,4029,3333,3571
5182,5592,4279,4661,2933
2590,5409,4125,1553,3600
3816,2315,5672,257,4701
1054,285,3531,1300,2958
2148,696,2397,2669,1313
1072,4978,4123,4313,2236
3468,1861,1028,4184,334
145,1874,2310,5844,4888
