,gene_names,weighted_max,weighted_sum
0,XIST,0.116032674908638,-3.571230888366699
1,HLA-DRB4 /// LOC100509582,0.064678855240345,4.7982378005981445
2,CMPK2,0.06701375544071198,-5.672476291656494
3,MMP1,0.05704186484217644,9.004129409790039
4,RPS4Y1,0.060662589967250824,-12.980778694152832
5,IGHA1 /// IGHA2 /// LOC100126583,0.05841481685638428,8.810100555419922
6,IL8,0.053026098757982254,-9.922568321228027
7,EGFR,0.053307659924030304,-6.714696884155273
8,CHI3L1,0.06307899206876755,1.2031750679016113
9,CCL20,0.08992794156074524,6.713414669036865
10,KRT19,0.09379781037569046,-0.40422385931015015
11,LYZ,0.054110556840896606,8.33388614654541
12,LUM,0.0553785040974617,-1.59382963180542
13,HLA-DQA1,0.06802244484424591,4.652481555938721
14,C9orf117,0.05167661979794502,0.7911532521247864
15,CARD16,0.05528627708554268,-11.499805450439453
16,MGC34034,0.05352210998535156,0.48330557346343994
17,GJA1,0.091120645403862,-8.15781021118164
18,IFIT1,0.09860221296548843,-7.563658714294434
19,HLA-DRA,0.04822084680199623,-11.62545394897461
20,S100A8,0.06717516481876373,-8.746404647827148
21,COL1A1,0.04831741005182266,-10.792353630065918
22,SPARC,0.056124523282051086,-11.960798263549805
23,LRRC25,0.062276795506477356,3.720595598220825
24,EIF1AY,0.06240104138851166,-3.5629353523254395
25,COL3A1,0.05923749879002571,-6.409318923950195
26,SEPP1,0.05792050436139107,-12.588689804077148
27,CTGF,0.0568108893930912,-7.553709983825684
28,HLA-DPA1,0.0487787239253521,-9.07072639465332
29,CCL5,0.05840826407074928,-2.44926118850708
30,MGP,0.07847031950950623,-7.752114772796631
31,HLA-DQA1 /// HLA-DQA2,0.07579333335161209,9.100494384765625
32,MAL2,0.05425911024212837,-3.759707450866699
33,EPCAM,0.05990852043032646,-8.7677001953125
34,PTX3,0.05874929577112198,-2.9455318450927734
35,COL6A3,0.0591217502951622,-10.010478973388672
36,HLA-DQB1,0.08274208009243011,12.090600967407227
37,ANK3,0.06748881936073303,-8.467723846435547
38,SERPINA1,0.06898579001426697,1.7244713306427002
39,IGJ,0.04938537999987602,12.771363258361816
40,EFEMP1,0.0650092139840126,-10.571285247802734
41,PLAC8,0.06824252009391785,-11.737628936767578
42,COL1A2,0.06468898057937622,-8.519540786743164
43,TSPAN8,0.05624215677380562,3.3697431087493896
44,CXCL1,0.04984026774764061,-8.149835586547852
45,DSP,0.059542957693338394,-9.807857513427734
46,ALDH1A1,0.05682819336652756,-8.32959270477295
47,AGR2,0.06520996242761612,-2.2860107421875
48,CYTL1,0.07051648199558258,12.813833236694336
49,CD24,0.06564252078533173,-11.231172561645508
50,CCL2,0.06443566083908081,-4.817668914794922
51,NNMT,0.05386165902018547,-8.219053268432617
52,TGFBI,0.06039144843816757,-9.147560119628906
53,S100A9,0.0956140086054802,-6.62354850769043
54,UGT2B17,0.06897182017564774,11.314623832702637
55,DKK1,0.059066664427518845,-10.466426849365234
56,HBA1 /// HBA2,0.05712372809648514,-9.627717971801758
57,IGFBP3,0.06494924426078796,-15.730133056640625
58,CTHRC1,0.08766262978315353,-9.30356216430664
59,S100P,0.06008046492934227,-7.409954071044922
60,KRT18,0.04610909894108772,-12.13733196258545
61,MAGEA6,0.07787157595157623,2.013289451599121
62,CXCL13,0.07187479734420776,8.425275802612305
63,CSTA,0.07931307703256607,-14.276561737060547
64,IGHG1 /// IGHG2 /// IGHM /// IGHV4-31,0.06271491199731827,5.77605676651001
65,C16orf54,0.06047656387090683,11.387264251708984
66,GREM1,0.06659378111362457,8.474184036254883
67,IGL@,0.05057660862803459,-7.339168548583984
68,IGFBP7,0.03637687489390373,-14.682838439941406
69,LOC647979,0.05661531537771225,-10.688390731811523
70,C8orf4,0.04880446568131447,10.465666770935059
71,CD52,0.05816721171140671,-2.1947498321533203
72,TIMP1,0.04231131449341774,-16.301334381103516
73,TFPI2,0.09543195366859436,1.8687800168991089
74,MAGEA3,0.06411116570234299,2.6730241775512695
75,SPARCL1,0.0689467117190361,-1.8181824684143066
76,CXCL14,0.07633433490991592,10.472515106201172
77,CLCN7,0.046888627111911774,-20.79847526550293
78,TM4SF1,0.05436384677886963,-13.545205116271973
79,CYR61,0.05400637537240982,-13.242929458618164
80,DCN,0.06565436720848083,-6.455649375915527
81,C15orf48,0.06454867869615555,2.560997724533081
82,HLA-DRB1 /// HLA-DRB3 /// HLA-DRB4,0.0792398676276207,-12.651712417602539
83,CDH2,0.04995854198932648,-6.63672399520874
84,S100A6,0.044690199196338654,-12.775845527648926
85,HLA-DRB1 /// HLA-DRB4 /// HLA-DRB5,0.038793738931417465,-13.671197891235352
86,IGFBP2,0.061854440718889236,-14.181354522705078
87,PPBP,0.05447867512702942,13.264892578125
88,SLC40A1,0.05024927482008934,-12.05575180053711
89,PLS3,0.048556361347436905,-11.9872465133667
90,ID4,0.05534356087446213,-4.455914497375488
91,MGST1,0.05925551801919937,-12.94064712524414
92,CAV1,0.04793856665492058,-10.802501678466797
93,HLA-DRB1,0.04586561396718025,-13.096817970275879
94,LOC386597,0.044859305024147034,-2.537358522415161
95,TYROBP,0.05767736956477165,2.1874337196350098
96,IGLC7 /// IGLV1-44,0.0570555180311203,1.2551233768463135
97,CA2,0.08944879472255707,-10.640100479125977
98,FSTL1,0.06464073807001114,-10.960393905639648
99,COL12A1,0.049525659531354904,-7.504094123840332
100,GMFG,0.06345051527023315,-1.108426570892334
101,AKR1B10,0.056533608585596085,-5.732085704803467
102,SERPINB2,0.05934932827949524,11.14952278137207
103,IGLC7 /// IGLV1-44 /// LOC100290481,0.04211941733956337,-15.128243446350098
104,CD69,0.05453833192586899,8.23738956451416
105,ITM2A,0.055205244570970535,0.9456084966659546
106,HLA-DRB4,0.04713922739028931,7.873353481292725
107,COL4A1,0.07255812734365463,-7.236155033111572
108,COL4A2,0.08200404047966003,-7.642740249633789
109,CD14,0.05742308124899864,-1.0863028764724731
110,BCL2A1,0.05666946992278099,1.0115861892700195
111,TNC,0.06643302738666534,-6.142297267913818
112,ANXA1,0.04700043797492981,-12.200240135192871
113,MYL9,0.05699921399354935,-2.4102180004119873
114,LAPTM5,0.0529387928545475,-7.317044258117676
115,GIMAP6,0.05292028561234474,12.317902565002441
116,TPM2,0.05228473246097565,-10.007747650146484
117,EPB41L3,0.09964355081319809,2.691549301147461
118,C10orf116,0.06680808216333389,10.749624252319336
119,AKR1C3,0.05970880016684532,-11.530182838439941
120,AREG,0.05928819254040718,-9.113243103027344
121,LCP2,0.050636496394872665,10.213895797729492
122,PSPH,0.05108640715479851,-13.988666534423828
123,COL5A2,0.05963347107172012,-9.812189102172852
124,EVI2B,0.0509965680539608,-3.491887092590332
125,HCLS1,0.05079634487628937,-1.7256559133529663
126,FOS,0.05559580400586128,-12.932964324951172
127,MME,0.14296011626720428,5.5011115074157715
128,MS4A7,0.062288444489240646,12.170425415039062
129,TOX3,0.06077810004353523,4.592353820800781
130,GNG11,0.0829208493232727,-1.880639910697937
131,ZIC2,0.06739351898431778,1.1713800430297852
132,SCNN1A,0.05110704526305199,0.20419830083847046
133,ADAMTS1,0.05284842103719711,-4.4237775802612305
134,LAMB1,0.044461943209171295,-12.279325485229492
135,CYTIP,0.06527409702539444,1.1752976179122925
136,ID1,0.05340287461876869,-10.707120895385742
137,HLA-DPB1,0.07379047572612762,-9.495200157165527
138,ANPEP,0.09109517931938171,0.6775373220443726
139,LOC100288985,0.06295280903577805,-8.934272766113281
140,MNDA,0.04613136127591133,10.15938949584961
141,ANXA3,0.06287436187267303,-9.351641654968262
142,VCAN,0.06424280256032944,-4.726620197296143
143,MET,0.04543822631239891,-11.468276977539062
144,CCL3 /// CCL3L1 /// CCL3L3,0.06660154461860657,6.640984058380127
145,S100A4,0.07280965149402618,-13.37860107421875
146,GIMAP7,0.06487644463777542,11.625946044921875
147,HLA-DRB1 /// HLA-DRB4,0.044515158981084824,-14.069311141967773
148,CYP24A1,0.05313481017947197,7.764270782470703
149,IL13RA2,0.06234627589583397,10.965901374816895
150,FABP4,0.049938760697841644,7.697900772094727
151,C19orf33,0.058879654854536057,-5.311534881591797
152,GIMAP2,0.06308497488498688,-0.05604523420333862
153,GJB2,0.07908019423484802,4.883092403411865
154,MAFB,0.05373040586709976,-7.746567249298096
155,FLI1,0.06479573249816895,-1.3565325736999512
156,CCL4,0.05899391695857048,1.3561221361160278
157,H19,0.07952827960252762,-15.910432815551758
158,ENPP2,0.06775809079408646,-5.722192764282227
159,SNAI2,0.05334728956222534,-3.7934889793395996
160,TRBC1 /// TRBC2,0.04424013942480087,-4.568118572235107
161,ALDH1A3,0.06511784344911575,-9.110843658447266
162,C13orf15,0.05048869177699089,-8.136704444885254
163,GIMAP4,0.055782776325941086,7.425699234008789
164,ARHGAP15,0.05857347324490547,4.234705924987793
165,TRIM22,0.06606840342283249,-11.375187873840332
166,IFI27,0.04884248971939087,-13.261404037475586
167,KRT81,0.05982152000069618,3.9859261512756348
168,IL1RN,0.06283251941204071,-1.969170331954956
169,EVI2A,0.06747494637966156,-3.0508713722229004
170,RNASE6,0.06681942939758301,12.462112426757812
171,LOC399959,0.05291919782757759,3.0792696475982666
172,CECR1,0.056037258356809616,-3.8947880268096924
173,CD36,0.05621565505862236,13.406614303588867
174,CRIP1,0.04950748383998871,-11.48233413696289
175,BIRC3,0.04100817069411278,-14.201166152954102
176,CDH3,0.05741759389638901,5.71558141708374
177,TFEC,0.05934983864426613,16.490413665771484
178,TOP2A,0.07084670662879944,-9.836130142211914
179,IL32,0.05784406140446663,-5.186816215515137
180,C3,0.049244217574596405,-16.229402542114258
181,KRT14,0.06609442085027695,12.984526634216309
182,FOSB,0.07246522605419159,0.34467652440071106
183,CSF2RB,0.05982435494661331,0.5841423869132996
184,IFI44L,0.06321940571069717,-0.9462767243385315
185,NCF2,0.05705472081899643,4.2386322021484375
186,THBS2,0.06329326331615448,-2.5992631912231445
187,ARMCX2,0.0703916996717453,-1.2324864864349365
188,TUBB2B,0.0614156611263752,-12.498238563537598
189,GPRC5A,0.056230418384075165,-7.37429141998291
190,PDK4,0.0631508007645607,15.22966480255127
191,MPEG1,0.06031984090805054,9.659798622131348
192,HSPA1A,0.061986248940229416,-14.096896171569824
193,COL6A2,0.06057445704936981,-2.170809745788574
194,C11orf96,0.0501033216714859,-8.874496459960938
195,HLA-DRB1 /// HLA-DRB3 /// HLA-DRB4 /// HLA-DRB5 /// LOC100133661 /// LOC100294036 /// LOC100509582 /// LOC100510495 /// LOC100510519,0.07078666985034943,11.061907768249512
196,CNN3,0.06361022591590881,-8.14659595489502
197,CD37,0.05839065834879875,8.960004806518555
198,SLC2A10,0.054034989327192307,-6.990453720092773
