index,gene_names,weighted_max,weighted_sum,abs_sum
240,GABBR2,0.066766612,0.426827908,0.426827908
1629,ACPP,0.103884071,0.433480382,0.433480382
5503,DAPK3,0.24244,0.436156273,0.436156273
2890,ARRDC3,0.147774309,-0.436189651,0.436189651
4406,ST8SIA1,0.072811097,0.436302185,0.436302185
942,PTGER2,0.12616121,0.443645775,0.443645775
450,PLSCR4,0.094754666,-0.448664546,0.448664546
2377,CSF3,0.058071829,0.44981432,0.44981432
3416,UNC5D,0.186175123,0.454507828,0.454507828
3098,LAMA5,0.058375597,-0.466573715,0.466573715
772,CFI,0.012777224,-0.466842651,0.466842651
3771,LOC440993,0.088211164,0.46727109,0.46727109
4462,MLLT3,0.291513979,-0.475166082,0.475166082
3295,SPRR2B,0.140458748,0.478186131,0.478186131
737,DTL,0.18520363,-0.479877949,0.479877949
333,BEX1,0.204839975,-0.481818199,0.481818199
4641,PRL,0.025262102,-0.484293699,0.484293699
5543,RAB40B,0.082293198,0.484299183,0.484299183
1114,ALPK2,0.09821789,0.487429619,0.487429619
1335,NAP1L2,0.080483019,0.49968195,0.49968195
867,RASGEF1A,0.324535698,0.500420928,0.500420928
4639,CBX4,0.244014055,0.506724447,0.506724447
477,IL1R2,0.241978347,-0.508129537,0.508129537
5472,PTBP2,0.11905583,-0.513084888,0.513084888
2031,ZG16B,0.088672094,0.522342443,0.522342443
4169,DBNDD2 /// SYS1 /// SYS1-DBNDD2,0.084894989,0.528326035,0.528326035
2356,SBK1,0.149873339,0.528845668,0.528845668
4258,LOC100506935,0.114737272,-0.537688375,0.537688375
2066,SUCNR1,0.110324807,-0.537972212,0.537972212
2504,ELF3,0.252739467,0.538443327,0.538443327
779,LIPG,0.197470516,-0.540658474,0.540658474
4376,CYP27C1,0.106988207,0.547807693,0.547807693
5222,LOC645431,0.13301339,-0.550159931,0.550159931
5427,TMEM72,0.228594262,0.551241279,0.551241279
802,DDC,0.081899598,-0.552954674,0.552954674
4060,TNNI3,0.161500886,0.553267479,0.553267479
5030,EID3,0.10913033,-0.559087753,0.559087753
5951,CENPQ,0.052760698,0.564623773,0.564623773
5607,SLC35F2,0.167149656,0.580340862,0.580340862
23,LRRC25,0.119718637,-0.580668509,0.580668509
310,BIN2,0.124394223,0.583532572,0.583532572
1085,ATP9A,0.120155156,-0.590426445,0.590426445
3990,MEIS3P1,0.118978836,-0.593108177,0.593108177
1048,OBSL1,0.123872928,0.600459933,0.600459933
1664,JAM2,0.172165185,0.601689816,0.601689816
1423,PION,0.147389442,-0.60806036,0.60806036
