"Approved.Symbol","Ensembl.ID.supplied.by.Ensembl.","index"
"SCN4A","ENSG00000007314",179
"ST7L","ENSG00000007341",180
"TKTL1","ENSG00000007350",181
"PAX6","ENSG00000007372",182
"RPUSD1","ENSG00000007376",183
"RHBDF1","ENSG00000007384",184
"LUC7L","ENSG00000007392",185
"CACNA2D2","ENSG00000007402",186
"BAIAP3","ENSG00000007516",187
"TSR3","ENSG00000007520",188
"PIGQ","ENSG00000007541",189
"CRAMP1","ENSG00000007545",190
"TEAD3","ENSG00000007866",191
"SELE","ENSG00000007908",192
"DNAJC11","ENSG00000007923",193
"FMO3","ENSG00000007933",194
"MYLIP","ENSG00000007944",195
"NOX1","ENSG00000007952",196
"E2F2","ENSG00000007968",197
"PSMB1","ENSG00000008018",198
"SYN1","ENSG00000008056",199
"JARID2","ENSG00000008083",200
"CDKL5","ENSG00000008086",201
"CAMK1G","ENSG00000008118",202
"CDK11A","ENSG00000008128",203
"NADK","ENSG00000008130",204
"TFAP2B","ENSG00000008196",205
"TFAP2D","ENSG00000008197",206
"DLEC1","ENSG00000008226",207
"CYTH3","ENSG00000008256",208
"ADAM22","ENSG00000008277",209
"SYPL1","ENSG00000008282",210
"CYB561","ENSG00000008283",211
"SPAG9","ENSG00000008294",212
"CELSR3","ENSG00000008300",213
"AASS","ENSG00000008311",214
"PLEKHG6","ENSG00000008323",215
"SS18L2","ENSG00000008324",216
"MPND","ENSG00000008382",217
"MGST1","ENSG00000008394",218
"CRY1","ENSG00000008405",219
"PGLYRP1","ENSG00000008438",220
"NFIX","ENSG00000008441",221
"ST3GAL1","ENSG00000008513",222
"MMP25","ENSG00000008516",223
"IL32","ENSG00000008517",224
"PKD1","ENSG00000008710",225
"MAPK8IP2","ENSG00000008735",226
"MED24","ENSG00000008838",227
"RHOBTB2","ENSG00000008853",228
"HEATR5B","ENSG00000008869",229
"SEC62","ENSG00000008952",230
"RPS20","ENSG00000008988",231
"CSDE1","ENSG00000009307",232
"UBE3C","ENSG00000009335",233
"REV3L","ENSG00000009413",234
"TENM1","ENSG00000009694",235
"PAX7","ENSG00000009709",236
"MASP2","ENSG00000009724",237
"IYD","ENSG00000009765",238
"FAM76A","ENSG00000009780",239
"TRAF3IP3","ENSG00000009790",240
"POMT2","ENSG00000009830",241
"VTA1","ENSG00000009844",242
"MLXIPL","ENSG00000009950",243
"BAZ1B","ENSG00000009954",244
"RANBP9","ENSG00000010017",245
"ETV7","ENSG00000010030",246
"SPRTN","ENSG00000010072",247
"METTL13","ENSG00000010165",248
"DYRK4","ENSG00000010219",249
"ZNF207","ENSG00000010244",250
"UQCRC1","ENSG00000010256",251
"STARD3NL","ENSG00000010270",252
"CD9","ENSG00000010278",253
"HHATL","ENSG00000010282",254
"NCAPD2","ENSG00000010292",255
"IFFO1","ENSG00000010295",256
"GIPR","ENSG00000010310",257
"PHF7","ENSG00000010318",258
"SEMA3G","ENSG00000010319",259
"NISCH","ENSG00000010322",260
"STAB1","ENSG00000010327",261
"FUZ","ENSG00000010361",262
"SLC6A13","ENSG00000010379",263
"IDS","ENSG00000010404",264
"PRSS3","ENSG00000010438",265
"ZNF200","ENSG00000010539",266
"CD4","ENSG00000010610",267
"LRRC23","ENSG00000010626",268
"BTK","ENSG00000010671",269
"HFE","ENSG00000010704",270
"SCMH1","ENSG00000010803",271
"FYN","ENSG00000010810",272
"HIVEP2","ENSG00000010818",273
"FMO1","ENSG00000010932",274
"ELOA","ENSG00000011007",275
"LYPLA2","ENSG00000011009",276
"CLCN6","ENSG00000011021",277
"MRC2","ENSG00000011028",278
"SLC6A7","ENSG00000011083",280
"TSPAN9","ENSG00000011105",281
"BTBD7","ENSG00000011114",282
"APBA3","ENSG00000011132",283
"MKS1","ENSG00000011143",284
"ABHD5","ENSG00000011198",285
"ANOS1","ENSG00000011201",286
"AKAP8L","ENSG00000011243",287
"MBTD1","ENSG00000011258",288
"UTP18","ENSG00000011260",289
"RNF216","ENSG00000011275",290
"TTC19","ENSG00000011295",291
"PTBP1","ENSG00000011304",292
"DPF1","ENSG00000011332",293
"SYT7","ENSG00000011347",294
"LARS2","ENSG00000011376",295
"PIK3C2A","ENSG00000011405",296
"PLAUR","ENSG00000011422",297
"ANLN","ENSG00000011426",298
"WIZ","ENSG00000011451",299
"RABGAP1","ENSG00000011454",300
"DCN","ENSG00000011465",301
"QPCTL","ENSG00000011478",302
"PPP5C","ENSG00000011485",303
"CEP68","ENSG00000011523",304
"MAP4K3","ENSG00000011566",305
"ZBTB32","ENSG00000011590",306
"TYROBP","ENSG00000011600",307
"TMEM159","ENSG00000011638",308
"GABRA3","ENSG00000011677",309
"BRCA1","ENSG00000012048",310
"ERCC1","ENSG00000012061",311
"CD22","ENSG00000012124",312
"SEMA3B","ENSG00000012171",313
"MBTPS2","ENSG00000012174",314
"PRICKLE3","ENSG00000012211",315
"LTF","ENSG00000012223",316
"EXTL3","ENSG00000012232",317
"NR1H4","ENSG00000012504",318
"ELOVL5","ENSG00000012660",319
"ALOX5","ENSG00000012779",320
"KDM5D","ENSG00000012817",321
"CALCOCO1","ENSG00000012822",322
"UBR7","ENSG00000012963",323
"MAP4K5","ENSG00000012983",324
"EHD3","ENSG00000013016",325
"PSMC4","ENSG00000013275",326
"MAN2B2","ENSG00000013288",327
"SLC7A14","ENSG00000013293",328
"CLDN11","ENSG00000013297",329
"SLC25A39","ENSG00000013306",330
"MVP","ENSG00000013364",331
"NUB1","ENSG00000013374",332
"PGM3","ENSG00000013375",333
"RWDD2A","ENSG00000013392",334
