layer,node,percent of gene elimination
3,1800 900 450,70
3,1800 600 200,70
3,1800 1200 600,70
3,900 900 900,70
3,900 600 300,70
3,900 300 100,70
3,600 600 600,70
3,600 400 200,70
3,600 300 150,70
