,0,1,2,3
0,GSM253210,0.0,2.470637083053589,0.9973564147949219
1,GSM253216,0.0,1.5525801181793213,-4.8923444747924805
2,GSM256745,0.0,5.37550163269043,0.8163190484046936
3,GSM256746,0.0,3.6481094360351562,0.17489999532699585
4,,0.0,2.6770167350769043,-0.024401701986789703
5,GSM256748,0.0,4.976619243621826,1.0635607242584229
6,,0.0,2.8090217113494873,0.3327844440937042
7,GSM256750,0.0,2.856768846511841,0.4389796555042267
8,GSM257187,0.0,0.5926409363746643,0.19921913743019104
9,GSM257190,1.0,0.1504426747560501,0.25217685103416443
10,GSM257248,0.0,6.894804954528809,1.6716842651367188
11,GSM257249,0.0,3.0590016841888428,0.7673333883285522
12,,0.0,5.8918890953063965,0.7548193335533142
13,GSM257526,1.0,0.5801399350166321,0.598598837852478
14,GSM257527,1.0,-2.2925636768341064,1.7636547088623047
15,GSM257528,0.0,1.630188226699829,0.9949357509613037
16,GSM257660,1.0,-1.6421171426773071,1.9930267333984375
17,GSM257661,1.0,-0.45698803663253784,0.4679437577724457
18,GSM257471,1.0,-0.8421972990036011,1.564028263092041
19,GSM257472,1.0,-2.9313220977783203,4.761467456817627
20,GSM259831,1.0,-0.6110125780105591,0.006459236145019531
21,GSM259832,1.0,0.3025718629360199,0.8363364934921265
22,,0.0,0.7452740669250488,0.15624722838401794
23,,0.0,0.9518303275108337,0.4837138056755066
24,GSM259835,1.0,-0.07492028921842575,0.5455687046051025
25,GSM259836,0.0,1.0404672622680664,0.5091714262962341
26,GSM260250,0.0,0.2692717909812927,0.15238384902477264
27,GSM260251,0.0,0.6625511646270752,0.46578776836395264
28,GSM260252,1.0,0.08024013042449951,0.4354914724826813
29,GSM260253,1.0,-0.03165163844823837,0.27199843525886536
30,GSM260254,1.0,-0.034060023725032806,0.20604172348976135
31,GSM260255,0.0,2.3096179962158203,-0.01234329491853714
32,GSM260256,0.0,4.078059196472168,0.5178883075714111
33,,0.0,4.076960563659668,0.4654877185821533
34,,0.0,7.126351833343506,3.3125171661376953
35,GSM260533,0.0,3.560659170150757,0.857458233833313
36,,0.0,8.308701515197754,1.2414926290512085
37,GSM260535,0.0,14.07681941986084,-0.04130173474550247
38,GSM260536,0.0,46.08133316040039,0.4853043556213379
39,GSM263933,0.0,19.74019432067871,-1.5788829326629639
40,,0.0,11.939030647277832,-2.7868402004241943
41,,0.0,7.3870673179626465,0.6890720129013062
42,GSM263936,0.0,3.3308844566345215,-0.9880197048187256
43,,0.0,4.07907772064209,0.9256287813186646
44,GSM265495,0.0,6.191746234893799,0.30547356605529785
45,,0.0,7.618316650390625,1.682157039642334
46,GSM265497,0.0,2.32320237159729,0.5384300351142883
47,GSM265498,0.0,1.8629132509231567,-0.7504287362098694
48,GSM265499,0.0,2.627856731414795,0.43742722272872925
49,GSM264755,0.0,0.8663364052772522,-0.2992912530899048
50,GSM264756,1.0,-0.679897665977478,1.3580527305603027
51,GSM264757,1.0,-0.8560653924942017,1.8586076498031616
52,GSM264758,0.0,12.46462631225586,2.783477544784546
53,,0.0,1.3840453624725342,-1.807935357093811
54,,0.0,6.891571521759033,1.0971651077270508
55,GSM265054,0.0,6.5833258628845215,1.9584720134735107
56,,0.0,1.2973560094833374,-2.524390459060669
57,GSM265056,0.0,4.3319010734558105,1.5349928140640259
58,GSM265057,0.0,4.310338497161865,1.7527987957000732
59,GSM265058,0.0,1.8252103328704834,0.07741986960172653
60,GSM265059,1.0,-0.44630157947540283,0.4060037434101105
61,GSM265505,0.0,1.4892841577529907,0.7783588767051697
62,GSM265507,0.0,1.7991955280303955,0.7485069632530212
63,GSM265509,1.0,0.03935452923178673,0.11884657293558121
64,GSM265510,1.0,0.15374581515789032,0.5110774040222168
65,GSM265817,0.0,3.3392906188964844,1.4170583486557007
66,,1.0,0.03827261924743652,0.08132404088973999
67,,0.0,0.482866108417511,0.23562666773796082
68,GSM265820,1.0,-2.130978584289551,4.001206874847412
69,GSM266839,1.0,-0.8608606457710266,0.833642303943634
70,,1.0,-0.7895387411117554,1.0146292448043823
71,,1.0,-3.3073604106903076,1.3461618423461914
72,GSM266845,1.0,-0.5719212293624878,0.8617480993270874
73,GSM266847,1.0,-1.672958493232727,2.6968331336975098
74,GSM266849,1.0,-0.22960886359214783,1.0659592151641846
75,,0.0,4.724852085113525,1.1727817058563232
76,GSM266853,0.0,8.459175109863281,1.3033381700515747
77,,0.0,6.25836706161499,2.100062131881714
78,GSM297601,0.0,4.169209003448486,1.1256353855133057
79,GSM297603,0.0,4.058116912841797,-0.04955337196588516
80,GSM297604,0.0,1.3844102621078491,0.2726481854915619
81,GSM266912,0.0,2.0623042583465576,-0.35701197385787964
82,,1.0,-2.8619987964630127,2.3688814640045166
83,GSM266914,1.0,-2.030033826828003,1.6263585090637207
84,,1.0,-0.8311509490013123,0.00221899151802063
85,GSM266916,0.0,1.8321812152862549,0.19585493206977844
86,,0.0,2.907890558242798,0.3115135729312897
87,GSM266918,0.0,6.174569129943848,0.34338659048080444
88,,0.0,4.8221116065979,0.44607359170913696
89,GSM266920,0.0,4.123280048370361,1.3211452960968018
90,GSM266921,0.0,3.2118213176727295,0.14312848448753357
91,GSM266922,0.0,8.326519966125488,2.735515594482422
92,GSM266923,0.0,3.1364243030548096,-0.31431514024734497
93,GSM267005,0.0,5.023098468780518,2.1915440559387207
94,,0.0,5.8622212409973145,2.068444013595581
95,GSM267007,0.0,4.3944993019104,1.3271909952163696
96,GSM267008,0.0,4.420130252838135,1.3363029956817627
97,GSM267009,1.0,-0.19760674238204956,1.0600024461746216
98,GSM267010,0.0,2.2241439819335938,0.3792732357978821
99,,1.0,-0.439733624458313,0.8012707829475403
100,GSM267012,1.0,-1.654437780380249,0.9335286021232605
101,GSM267013,1.0,-2.397080421447754,1.5470329523086548
102,GSM267077,1.0,-0.10101401060819626,1.1433011293411255
103,GSM267078,0.0,2.522613763809204,0.7029699683189392
104,,0.0,1.9316562414169312,0.2431817352771759
105,GSM267080,0.0,2.056480884552002,0.24824875593185425
106,GSM267081,1.0,-0.9122852087020874,1.2796692848205566
107,GSM267082,1.0,-1.0575131177902222,1.4608150720596313
108,,0.0,0.908799409866333,0.3484695851802826
109,,1.0,-1.1710495948791504,0.885745644569397
